CLICK_THROUGH_RATE,LISTING_IMPRESSION_TOTAL,LISTING_VIEWS_TOTAL,SALES_CONVERSION_RATE,date
0.0,0,0,0.0,20251101
0.0,0,0,0.0,20251102
0.0,0,0,0.0,20251103
0.0,0,0,0.0,20251104
0.0,0,0,0.0,20251105
0.0,0,0,0.0,20251106
0.0,0,0,0.0,20251107
0.0,0,0,0.0,20251108
0.0,0,0,0.0,20251109
0.0,0,0,0.0,20251110
0.0,0,0,0.0,20251111
0.0,0,0,0.0,20251112
0.0,0,0,0.0,20251113
0.0,0,0,0.0,20251114
0.0,0,0,0.0,20251115
0.0,0,0,0.0,20251116
0.0,0,0,0.0,20251117
0.0,0,0,0.0,20251118
0.0,0,0,0.0,20251119
0.0,0,0,0.0,20251120
0.0,0,0,0.0,20251121
0.0,0,0,0.0,20251122
0.0,0,0,0.0,20251123
0.0,0,0,0.0,20251124
0.0,0,0,0.0,20251125
0.0,0,0,0.0,20251126
0.0,0,0,0.0,20251127
0.0,0,0,0.0,20251128
0.0,0,0,0.0,20251129
0.0,0,0,0.0,20251130
0.0,0,0,0.0,20251201
